location,macro_suburb,property_percentile,taxi_routes,civic_responsiveness_percentile,healthcare_facilities_5km,median_gv,region,safety_score,school_count,risk_profile
Aan De Wijnlanden Estate,Kuils River,62.5,5,3,4,1750000,Northern Suburb,14,0,Higher reported crime
Acorn Creek Lifestyle Estate,unknown,69.7,0,46,0,1878183.962,helderberg,50,0,Moderate reported crime
Admirals Kloof,unknown,69.7,0,46,0,1878183.962,S penisula,50,0,Moderate reported crime
Admirals Park,Somerset Central,37,3,48,4,9.00E+05,helderberg,98,0,Lower reported crime
Amanda Glen,Bellville,78.5,1,48,8,2750000,Northern Suburb,61,0,Moderate reported crime
Amandelsig,Kuils River,55.1,0,15,5,1250000,Northern Suburb,29,1,Higher reported crime
Anchorage Park,Gordon's Bay,43.6,0,49,4,1250000,helderberg,98,0,Lower reported crime
Athlone,Athlone,38,34,49,27,1250000,cape flats,31,7,Higher reported crime
Atlantic Beach Golf Estate,Melkbosstrand,81.9,0,75,0,2750000,Blaauwbergstrand,50,0,Moderate reported crime
Atlantic Hills,unknown,69.7,0,46,0,1878183.962,Northern Suburb,50,0,Moderate reported crime
Atlantis Central,Atlantis,12.7,0,88,0,3.00E+05,Blaauwbergstrand,50,0,Moderate reported crime
Atlantis Industrial,Atlantis,12.7,0,88,0,3.00E+05,Blaauwbergstrand,50,0,Moderate reported crime
Audas Estate,unknown,67.5,16,50,6,1750000,helderberg,75,2,Lower reported crime
Aurora,Durbanville,85.4,0,50,2,2750000,Northern Suburb,61,0,Moderate reported crime
Avalon Estate,Kraaifontein,68.7,0,50,5,2250000,Northern Suburb,61,0,Moderate reported crime
Avondale Parow,Parow,64.5,0,58,0,1797222.222,Northern Suburb,50,0,Moderate reported crime
Bakkershoogte,Briza ,93.8,0,72,0,4134615.385,helderberg,50,0,Moderate reported crime
Bakoven,Atlantic Seaboard,95.5,0,87,0,4778481.013,Atlantic,50,0,Moderate reported crime
Bantry Bay,Atlantic Seaboard,99.8,8,50,5,6500000,Atlantic,91,0,Lower reported crime
Bardale Village,Kuils River,59.2,0,42,0,1396212.121,Northern Suburb,50,0,Moderate reported crime
Baronetcy Estate,unknown,97.6,0,50,5,3750000,Northern Suburb,42,0,Moderate reported crime
Bay View,Mitchells Plain,27.6,0,83,0,7.00E+05,cape flats,50,0,Moderate reported crime
Bay View Village,unknown,69.7,0,46,0,1878183.962,S penisula,50,0,Moderate reported crime
Beachfront,Bloubergstrand,93.2,0,55,0,2942307.692,Blaauwbergstrand,50,0,Moderate reported crime
Bel'Aire,Briza ,95.5,0,15,2,5500000,helderberg,75,0,Lower reported crime
Belgravia,Athlone,44.2,8,51,26,1250000,cape flats,31,7,Higher reported crime
Belhar,unknown,69.7,0,46,0,1878183.962,Northern Suburb,50,0,Moderate reported crime
Bellair,unknown,62.5,3,16,9,1750000,Northern Suburb,43,0,Moderate reported crime
Belle Constantia,unknown,69.7,0,46,0,1878183.962,Southern suburbs,50,0,Moderate reported crime
Bellville CBD,Bellville,46.7,115,17,14,3.00E+05,Northern Suburb,43,1,Moderate reported crime
Bellvue,Fish Hoek,67.3,0,64,0,1775000,S penisula,50,0,Moderate reported crime
Belmont Park,Kraaifontein,34.7,36,53,8,9.00E+05,Northern Suburb,19,2,Higher reported crime
Belthorn Estate,unknown,54.7,11,53,24,1750000,cape flats,34,2,Moderate reported crime
Belvedere,Fish Hoek,67.3,0,64,0,1775000,S penisula,50,0,Moderate reported crime
Bergsig,Kuils River,59.2,0,42,0,1396212.121,Northern Suburb,50,0,Moderate reported crime
Bergvliet,unknown,86.8,2,54,12,3750000,Southern suburbs,24,6,Higher reported crime
